epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1473,2.52729,2.19974,1.82622,0.57066,0.51646,0.52346,0.27697,1.78436,1.60739,1.31056,0.000653846,0.000653846,0.000653846
2,25.3356,2.23546,1.94853,1.59499,0.43604,0.48707,0.40466,0.20519,1.80561,1.60731,1.26452,0.00130744,0.00130744,0.00130744
3,35.4118,2.22582,1.90936,1.59605,0.63455,0.42452,0.46699,0.25818,1.80535,1.58023,1.31589,0.00194783,0.00194783,0.00194783
4,45.4662,2.17373,1.86394,1.56208,0.67486,0.46311,0.54557,0.27056,1.95345,1.55748,1.31631,0.0019406,0.0019406,0.0019406
5,55.4782,2.15778,1.84084,1.57294,0.51079,0.29966,0.31844,0.19049,1.69762,1.66005,1.25988,0.0019208,0.0019208,0.0019208
6,65.4991,2.08248,1.85004,1.50447,0.72561,0.54597,0.63044,0.37746,1.58568,1.32302,1.16338,0.001901,0.001901,0.001901
7,75.574,2.08288,1.83163,1.51326,0.61168,0.35982,0.42711,0.25616,1.79061,1.56686,1.2977,0.0018812,0.0018812,0.0018812
8,85.7097,2.08111,1.78939,1.51546,0.59262,0.36821,0.41272,0.24271,1.824,1.53883,1.31696,0.0018614,0.0018614,0.0018614
9,95.6589,2.06382,1.78425,1.51354,0.64773,0.36095,0.4454,0.27215,1.68045,1.51696,1.25845,0.0018416,0.0018416,0.0018416
10,105.516,2.0069,1.78758,1.51119,0.5403,0.42338,0.46082,0.25333,1.74081,1.52239,1.27996,0.0018218,0.0018218,0.0018218
11,115.48,2.02306,1.7405,1.48209,0.52191,0.36554,0.41686,0.22023,1.73131,1.53999,1.27791,0.001802,0.001802,0.001802
12,125.444,1.99209,1.70281,1.45144,0.71097,0.47787,0.58638,0.32891,1.62644,1.3404,1.19481,0.0017822,0.0017822,0.0017822
13,135.287,1.98183,1.70629,1.47487,0.80695,0.60726,0.7129,0.39372,1.55826,1.18849,1.17277,0.0017624,0.0017624,0.0017624
14,145.53,1.97187,1.66945,1.44047,0.64917,0.47888,0.56602,0.27046,1.80116,1.46194,1.3056,0.0017426,0.0017426,0.0017426
15,155.379,1.94108,1.65706,1.45779,0.69294,0.43545,0.51744,0.26651,1.68975,1.46336,1.2484,0.0017228,0.0017228,0.0017228
16,165.369,1.90526,1.64017,1.42048,0.48956,0.38319,0.40096,0.20803,1.80505,1.59317,1.3199,0.001703,0.001703,0.001703
17,175.529,1.94456,1.6314,1.43413,0.67659,0.44154,0.5338,0.26698,1.72335,1.47251,1.27977,0.0016832,0.0016832,0.0016832
18,185.488,1.89684,1.58912,1.41808,0.70474,0.44381,0.52543,0.19537,2.00894,1.5647,1.42955,0.0016634,0.0016634,0.0016634
19,195.302,1.86996,1.54382,1.39426,0.82132,0.54257,0.66326,0.31544,1.78012,1.29476,1.28232,0.0016436,0.0016436,0.0016436
20,205.266,1.89058,1.53626,1.39944,0.71964,0.44949,0.53814,0.23306,1.89132,1.47103,1.36513,0.0016238,0.0016238,0.0016238
21,215.261,1.86693,1.51238,1.39286,0.67923,0.47831,0.56145,0.24445,1.82255,1.47909,1.30756,0.001604,0.001604,0.001604
22,225.015,1.86024,1.53057,1.40005,0.78081,0.49329,0.60118,0.29472,1.70153,1.32956,1.26251,0.0015842,0.0015842,0.0015842
23,235.066,1.86406,1.50154,1.36997,0.68192,0.45261,0.55607,0.24241,1.8261,1.44438,1.31332,0.0015644,0.0015644,0.0015644
24,244.922,1.8519,1.46995,1.3772,0.7049,0.50624,0.59752,0.29536,1.70878,1.36538,1.25002,0.0015446,0.0015446,0.0015446
25,254.782,1.8254,1.50605,1.3617,0.77151,0.5437,0.66372,0.33165,1.69739,1.29663,1.23304,0.0015248,0.0015248,0.0015248
26,264.882,1.85895,1.43697,1.36082,0.72236,0.48808,0.57791,0.2958,1.70983,1.34136,1.27125,0.001505,0.001505,0.001505
